Type,Bank,Country,Region,Year,AmountUSDMillions,Group,Sector,Client,ForestRiskClientRegion
Corporate loan,Export Development Canada,Canada,North America,2018,67.24,Suzano,Pulp & paper,Suzano,Latin America
Corporate loan,ING Group,Netherlands,EU27,2018,67.24,Suzano,Pulp & paper,Suzano,Latin America
Corporate loan,JPMorgan Chase,United States,North America,2018,67.24,Suzano,Pulp & paper,Suzano,Latin America
Corporate loan,Mitsubishi UFJ Financial,Japan,East Asia,2018,67.24,Suzano,Pulp & paper,Suzano,Latin America
Corporate loan,BPCE Group,France,EU27,2018,67.24,Suzano,Pulp & paper,Suzano,Latin America
Corporate loan,Scotiabank,Canada,North America,2018,67.24,Suzano,Pulp & paper,Suzano,Latin America
Corporate loan,SMBC Group,Japan,East Asia,2018,67.24,Suzano,Pulp & paper,Suzano,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2014,67.19,Brazil Agriculture Finance Program,Timber,Brazil Agriculture Finance Program - Sudeste - Minas Gerais,Latin America
Shareholding,State Street,United States,North America,2021,67.19,Archer Daniels Midland,Palm oil,Archer Daniels Midland,Southeast Asia
Corporate loan,Banco do Nordeste do Brasil,Brazil,South America,2013,67,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Nordeste - Maranhão,Latin America
Corporate loan,Bradesco,Brazil,South America,2013,66.94,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Sul - Paraná,Latin America
Corporate loan,Bradesco,Brazil,South America,2019,66.83,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Centro-Oeste - MatoGrosso do Sul,Latin America
Bond issuance,Itaú Unibanco,Brazil,South America,2017,66.67,Suzano,Pulp & paper,Suzano Austria,Latin America
Bond issuance,Banco do Brasil,Brazil,South America,2017,66.67,Suzano,Pulp & paper,Suzano Austria,Latin America
Bond issuance,JPMorgan Chase,United States,North America,2017,66.67,Suzano,Pulp & paper,Suzano Austria,Latin America
Bond issuance,Mizuho Financial,Japan,East Asia,2017,66.67,Suzano,Pulp & paper,Suzano Austria,Latin America
Bond issuance,Santander,Spain,EU27,2017,66.67,Suzano,Pulp & paper,Suzano Austria,Latin America
Share issuance,BNP Paribas,France,EU27,2019,66.67,Top Glove,Rubber,Top Glove Labuan,Southeast Asia
Share issuance,CIMB Group,Malaysia,Southeast Asia,2019,66.67,Top Glove,Rubber,Top Glove Labuan,Southeast Asia
Share issuance,Citigroup,United States,North America,2019,66.67,Top Glove,Rubber,Top Glove Labuan,Southeast Asia
Corporate loan,Banco do Brasil,Brazil,South America,2014,66.43,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Norte - Pará,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2015,66.41,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Norte - Tocantins,Latin America
Corporate loan,Santander,Spain,EU27,2014,66.25,Royal Golden Eagle Group,Pulp & paper,AP Enterprises,Southeast Asia
Corporate loan,Cathay Financial,Taiwan,East Asia,2014,66.25,Royal Golden Eagle Group,Pulp & paper,AP Enterprises,Southeast Asia
Corporate loan,First Abu Dhabi Bank,United Arab Emirates,Middle East,2014,66.25,Royal Golden Eagle Group,Pulp & paper,AP Enterprises,Southeast Asia
Corporate loan,United Overseas Bank,Singapore,Southeast Asia,2013,66.25,Salim Group,Palm oil,Indofood Sukses Makmur,Southeast Asia
Corporate loan,DBS,Singapore,Southeast Asia,2013,66.25,Salim Group,Palm oil,Indofood Sukses Makmur,Southeast Asia
Corporate loan,Bradesco,Brazil,South America,2014,65.99,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sul - Paraná,Latin America
Corporate loan,Bradesco,Brazil,South America,2013,65.99,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Centro-Oeste - MatoGrosso do Sul,Latin America
Corporate loan,Banco do Nordeste do Brasil,Brazil,South America,2013,65.67,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Nordeste - Bahia,Latin America
Revolving credit facility,SMBC Group,Japan,East Asia,2018,65.66,Salim Group,Palm oil,Indofood Agri Resources,Southeast Asia
Bond issuance,Trimegah Securities,Indonesia,Southeast Asia,2018,65.4,Sinar Mas Group,Pulp & paper,Indah Kiat Pulp & Paper,Southeast Asia
Corporate loan,Santander,Spain,EU27,2017,65.02,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Centro-Oeste - Goiás,Latin America
Corporate loan,Bank Pan Indonesia,Indonesia,Southeast Asia,2017,65,Sinar Mas Group,Palm oil,Sinar Mas Agro Resources & Technology,Southeast Asia
Shareholding,Oversea-Chinese Banking Corporation,Singapore,Southeast Asia,2021,64.94,IOI Group,Palm oil,IOI Corporation,Southeast Asia
Corporate loan,Malayan Banking,Malaysia,Southeast Asia,2016,64.86,Triputra Group,Palm oil,Agro Multi Persada,Southeast Asia
Corporate loan,Oversea-Chinese Banking Corporation,Singapore,Southeast Asia,2016,64.86,Triputra Group,Palm oil,Agro Multi Persada,Southeast Asia
Corporate loan,Banco do Nordeste do Brasil,Brazil,South America,2018,64.76,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Nordeste - Piauí,Latin America
Corporate loan,Itaú Unibanco,Brazil,South America,2019,64.71,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sudeste - São Paulo,Latin America
Revolving credit facility,Mizuho Financial,Japan,East Asia,2013,64.67,Wilmar,Palm oil,WII,Southeast Asia
Corporate loan,Bank Negara Indonesia,Indonesia,Southeast Asia,2016,64.66,Tanjung Lingga Group,Palm oil,Sawit Sumbermas Sarana,Southeast Asia
Bond issuance,RHB Banking,Malaysia,Southeast Asia,2014,64.56,Sinar Mas Group,Palm oil,Golden Assets International,Southeast Asia
Corporate loan,Malayan Banking,Malaysia,Southeast Asia,2017,64,Sinar Mas Group,Palm oil,Sinar Mas Agro Resources & Technology,Southeast Asia
Bond issuance,CIMB Group,Malaysia,Southeast Asia,2019,64,Top Glove,Rubber,Top Glove Labuan,Southeast Asia
Corporate loan,ABN Amro,Netherlands,EU27,2018,63.89,Suzano,Pulp & paper,Suzano,Latin America
Corporate loan,Mitsubishi UFJ Financial,Japan,East Asia,2018,63.89,Suzano,Pulp & paper,Suzano,Latin America
Corporate loan,Bank of America,United States,North America,2018,63.89,Suzano,Pulp & paper,Suzano,Latin America
Corporate loan,Crédit Agricole,France,EU27,2018,63.89,Suzano,Pulp & paper,Suzano,Latin America
Corporate loan,ING Group,Netherlands,EU27,2018,63.89,Suzano,Pulp & paper,Suzano,Latin America
Corporate loan,Mizuho Financial,Japan,East Asia,2018,63.89,Suzano,Pulp & paper,Suzano,Latin America
Corporate loan,BPCE Group,France,EU27,2018,63.89,Suzano,Pulp & paper,Suzano,Latin America
Corporate loan,Scotiabank,Canada,North America,2018,63.89,Suzano,Pulp & paper,Suzano,Latin America
Corporate loan,SMBC Group,Japan,East Asia,2018,63.89,Suzano,Pulp & paper,Suzano,Latin America
Corporate loan,Caixa Econômica Federal,Brazil,South America,2017,63.87,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sul - Paraná,Latin America
Corporate loan,Banco da Amazonia,Brazil,South America,2014,63.84,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Norte - Tocantins,Latin America
Shareholding,Oversea-Chinese Banking Corporation,Singapore,Southeast Asia,2021,63.8,Batu Kawan Group,Palm oil,Kuala Lumpur Kepong,Southeast Asia
Corporate loan,BNDES,Brazil,South America,2019,63.79,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Centro-Oeste - MatoGrosso do Sul,Latin America
Corporate loan,Mizuho Financial,Japan,East Asia,2018,63.66,Salim Group,Palm oil,Indofood Sukses Makmur,Southeast Asia
Corporate loan,Bradesco,Brazil,South America,2014,63.55,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sudeste - São Paulo,Latin America
Corporate loan,Caixa Econômica Federal,Brazil,South America,2017,63.52,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Centro-Oeste - MatoGrosso,Latin America
Corporate loan,Malayan Banking,Malaysia,Southeast Asia,2013,63.37,Samling Group,Timber,Samling Strategic Corporation,Southeast Asia
Bond issuance,CIMB Group,Malaysia,Southeast Asia,2014,63.27,Harita Group,Palm oil,Bumitama Agri,Southeast Asia
Bond issuance,Malayan Banking,Malaysia,Southeast Asia,2014,63.27,Harita Group,Palm oil,Bumitama Agri,Southeast Asia
Shareholding,United International Enterprises,Bahamas,Central America,2021,63.14,United Plantations,Palm oil,United Plantations,Southeast Asia
Corporate loan,Rabobank,Netherlands,EU27,2018,62.94,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Centro-Oeste - MatoGrosso,Latin America
Corporate loan,Bank Negara Indonesia,Indonesia,Southeast Asia,2014,62.9,Gozco Group,Palm oil,Gozco Plantations,Southeast Asia
Bond issuance,CIMB Group,Malaysia,Southeast Asia,2013,62.88,Batu Kawan Group,Palm oil,Batu Kawan,Southeast Asia
Bond issuance,Malayan Banking,Malaysia,Southeast Asia,2013,62.88,Batu Kawan Group,Palm oil,Batu Kawan,Southeast Asia
Shareholding,Fidelity Investments,United States,North America,2021,62.85,Suzano,Pulp & paper,Suzano,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2014,62.76,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sudeste - Espírito Santo,Latin America
Corporate loan,Bank of Nanjing,China,East Asia,2018,62.72,China Forestry Group,Timber,China Forest Group,Latin America
Corporate loan,Bank of Nanjing,China,East Asia,2018,62.72,China Forestry Group,Timber,China Forest Group,Central & West Africa
Corporate loan,Bank of Nanjing,China,East Asia,2018,62.72,China Forestry Group,Timber,China Forest Group,Southeast Asia
Corporate loan,Sicredi,Brazil,South America,2018,62.58,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Centro-Oeste - MatoGrosso,Latin America
Bond issuance,Bradesco,Brazil,South America,2013,62.54,Marfrig,Beef,Marfrig Holdings,Latin America
Bond issuance,Banco do Brasil,Brazil,South America,2013,62.54,Marfrig,Beef,Marfrig Holdings,Latin America
Bond issuance,HSBC,United Kingdom,Europe other,2013,62.54,Marfrig,Beef,Marfrig Holdings,Latin America
Bond issuance,Morgan Stanley,United States,North America,2013,62.54,Marfrig,Beef,Marfrig Holdings,Latin America
Bond issuance,Santander,Spain,EU27,2013,62.54,Marfrig,Beef,Marfrig Holdings,Latin America
Corporate loan,BNDES,Brazil,South America,2015,62.54,CMPC,Pulp & paper,CMPC Celulose Riograndense,Latin America
Revolving credit facility,BNP Paribas,France,EU27,2019,62.5,Suzano,Pulp & paper,Suzano,Latin America
Revolving credit facility,Santander,Spain,EU27,2019,62.5,Suzano,Pulp & paper,Suzano,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2019,62.44,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Sudeste - São Paulo,Latin America
Share issuance,JPMorgan Chase,United States,North America,2019,62.41,Marfrig,Beef,Marfrig Global Foods,Latin America
Share issuance,Santander,Spain,EU27,2019,62.41,Marfrig,Beef,Marfrig Global Foods,Latin America
Share issuance,Banco do Brasil,Brazil,South America,2019,62.41,Marfrig,Beef,Marfrig Global Foods,Latin America
Share issuance,Bradesco,Brazil,South America,2019,62.41,Marfrig,Beef,Marfrig Global Foods,Latin America
Corporate loan,Itaú Unibanco,Brazil,South America,2016,62.38,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sudeste - São Paulo,Latin America
Corporate loan,Bradesco,Brazil,South America,2018,62.36,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sudeste - Minas Gerais,Latin America
Shareholding,Itaú Unibanco,Brazil,South America,2021,62.21,JBS,Beef,JBS,Latin America
Corporate loan,Banco da Amazonia,Brazil,South America,2015,61.93,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Norte - Rond™nia,Latin America
Corporate loan,ABN Amro,Netherlands,EU27,2015,61.79,Sinochem Group,Rubber,Halcyon Agri,Central & West Africa
Corporate loan,Credit Suisse,Switzerland,Europe other,2015,61.79,Sinochem Group,Rubber,Halcyon Agri,Central & West Africa
Corporate loan,DBS,Singapore,Southeast Asia,2015,61.79,Sinochem Group,Rubber,Halcyon Agri,Central & West Africa
Corporate loan,Itaú Unibanco,Brazil,South America,2017,61.54,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sul - Paraná,Latin America
Corporate loan,Santander,Spain,EU27,2017,61.32,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sudeste - Minas Gerais,Latin America
Corporate loan,Banco do Nordeste do Brasil,Brazil,South America,2014,61.29,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Nordeste - Maranhão,Latin America
Corporate loan,Bradesco,Brazil,South America,2019,61.27,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sudeste - São Paulo,Latin America
Shareholding,Caixa Econômica Federal,Brazil,South America,2021,61.15,Suzano,Pulp & paper,Suzano,Latin America
Corporate loan,Santander,Spain,EU27,2017,61.09,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sul - Paraná,Latin America
Bond issuance,Malayan Banking,Malaysia,Southeast Asia,2014,60.98,Surya Dumai Group,Palm oil,First Resources,Southeast Asia
Bond issuance,RHB Banking,Malaysia,Southeast Asia,2014,60.98,Surya Dumai Group,Palm oil,First Resources,Southeast Asia
Shareholding,Grupo Argos,Colombia,South America,2021,60.97,Grupo Nutresa ,Beef,Grupo Nutresa ,Latin America
Corporate loan,SMBC Group,Japan,East Asia,2016,60.94,Salim Group,Palm oil,Indofood Agri Resources,Southeast Asia
Shareholding,Algemeen Burgerlijk Pensioenfonds (ABP),Netherlands,EU27,2021,60.93,Top Glove,Rubber,Top Glove,Southeast Asia
Corporate loan,Banco do Nordeste do Brasil,Brazil,South America,2014,60.71,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Nordeste - Bahia,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2016,60.58,Brazil Agriculture Finance Program,Timber,Brazil Agriculture Finance Program - Sul - Rio Grande do Sul,Latin America
Corporate loan,Rabobank,Netherlands,EU27,2017,60.5,Sinar Mas Group,Palm oil,Sinar Mas Agro Resources & Technology,Southeast Asia
Revolving credit facility,BNP Paribas,France,EU27,2014,60.4,Wilmar,Palm oil,WII,Southeast Asia
Revolving credit facility,Rabobank,Netherlands,EU27,2014,60.4,Wilmar,Palm oil,WII,Southeast Asia
Revolving credit facility,Mizuho Financial,Japan,East Asia,2014,60.4,Wilmar,Palm oil,WII,Southeast Asia
Revolving credit facility,Oversea-Chinese Banking Corporation,Singapore,Southeast Asia,2014,60.4,Wilmar,Palm oil,WII,Southeast Asia
Revolving credit facility,SMBC Group,Japan,East Asia,2014,60.4,Wilmar,Palm oil,WII,Southeast Asia
Revolving credit facility,Westpac,Australia,Oceania,2014,60.4,Wilmar,Palm oil,WII,Southeast Asia
Corporate loan,Bank Tabungan Negara,Indonesia,Southeast Asia,2019,60.27,Salim Group,Palm oil,Salim Ivomas Pratama,Southeast Asia
Corporate loan,Rabobank,Netherlands,EU27,2019,60.26,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Centro-Oeste - MatoGrosso,Latin America
Corporate loan,BNDES,Brazil,South America,2018,60.19,CMPC,Pulp & paper,CMPC Melhoramentos,Latin America
Corporate loan,Bank Central Asia,Indonesia,Southeast Asia,2018,60.19,DSN Group,Palm oil,Dharma Satya Nusantara,Southeast Asia
Corporate loan,Bank of China,China,East Asia,2020,60.02,Royal Golden Eagle Group,Pulp & paper,Asia Pacific Resources International,Southeast Asia
Corporate loan,ABN Amro,Netherlands,EU27,2020,60.02,Royal Golden Eagle Group,Pulp & paper,Asia Pacific Resources International,Southeast Asia
Corporate loan,Mitsubishi UFJ Financial,Japan,East Asia,2020,60.02,Royal Golden Eagle Group,Pulp & paper,Asia Pacific Resources International,Southeast Asia
Corporate loan,Banco da Amazonia,Brazil,South America,2016,60.01,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Norte - Rond™nia,Latin America
Corporate loan,Bank of America,United States,North America,2020,60,Suzano,Pulp & paper,Suzano,Latin America
Corporate loan,BNP Paribas,France,EU27,2020,60,Suzano,Pulp & paper,Suzano,Latin America
Corporate loan,Mizuho Financial,Japan,East Asia,2020,60,Suzano,Pulp & paper,Suzano,Latin America
Revolving credit facility,ABN Amro,Netherlands,EU27,2017,60,Sinar Mas Group,Palm oil,SOCI MAS,Southeast Asia
Corporate loan,HSBC,United Kingdom,Europe other,2013,60,Carson Cumberbatch Group,Palm oil,Good Hope Asia,Southeast Asia
Corporate loan,ABN Amro,Netherlands,EU27,2017,60,Sinar Mas Group,Palm oil,Sinar Mas Agro Resources & Technology,Southeast Asia
Corporate loan,Bank Rakyat Indonesia,Indonesia,Southeast Asia,2018,60,Sungai Budi Group,Palm oil,Adikarya Gemilang,Southeast Asia
Corporate loan,Bank Rakyat Indonesia,Indonesia,Southeast Asia,2018,60,Sungai Budi Group,Palm oil,Adikarya Gemilang,Southeast Asia
Revolving credit facility,Bank Pan Indonesia,Indonesia,Southeast Asia,2019,60,Sinar Mas Group,Palm oil,Sinar Mas Agro Resources & Technology,Southeast Asia
Revolving credit facility,Bank Pan Indonesia,Indonesia,Southeast Asia,2019,60,Sinar Mas Group,Palm oil,Sinar Mas Agro Resources & Technology,Southeast Asia
Revolving credit facility,Malayan Banking,Malaysia,Southeast Asia,2019,60,Sinar Mas Group,Palm oil,Sinar Mas Agro Resources & Technology,Southeast Asia
Corporate loan,Bank Negara Indonesia,Indonesia,Southeast Asia,2018,60,Sinar Mas Group,Pulp & paper,Indah Kiat Pulp & Paper,Southeast Asia
Revolving credit facility,CITIC,China,East Asia,2015,60,Royal Golden Eagle Group,Pulp & paper,Heliosity Consulting,Southeast Asia
Corporate loan,Bank Central Asia,Indonesia,Southeast Asia,2017,59.88,Salim Group,Palm oil,Salim Ivomas Pratama,Southeast Asia
Corporate loan,ING Group,Netherlands,EU27,2016,59.78,Sampoerna Group,Palm oil,Sampoerna Agro,Southeast Asia
Shareholding,T. Rowe Price,United States,North America,2021,59.73,Suzano,Pulp & paper,Suzano,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2016,59.7,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Nordeste - Maranhão,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2015,59.58,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Nordeste - Bahia,Latin America
Shareholding,Temasek,Singapore,Southeast Asia,2021,59.52,Olam International,Palm oil,Olam International,Southeast Asia
Corporate loan,Banco do Estado do Rio Grande do Sul (Banrisul),Brazil,South America,2019,59.38,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sul - Rio Grande do Sul,Latin America
Bond issuance,Soochow Securities,China,East Asia,2017,59.3,Sinar Mas Group,Pulp & paper,Gold Hongye Paper,Southeast Asia
Corporate loan,Banco da Amazonia,Brazil,South America,2014,59.25,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Norte - Tocantins,Latin America
Shareholding,Bank of New York Mellon,United States,North America,2021,59.24,Suzano,Pulp & paper,Suzano,Latin America
Revolving credit facility,Agricultural Bank of China,China,East Asia,2016,59.19,COFCO,Palm oil,COFCO Agri,Southeast Asia
Corporate loan,Banco do Brasil,Brazil,South America,2014,59.18,Brazil Agriculture Finance Program,Timber,Brazil Agriculture Finance Program - Centro-Oeste - Goiás,Latin America
Shareholding,AFP Habitat,Chile,South America,2021,59.17,CMPC,Pulp & paper,CMPC,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2014,59.1,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Nordeste - Maranhão,Latin America
Corporate loan,Bank Central Asia,Indonesia,Southeast Asia,2016,59.08,Salim Group,Palm oil,Salim Ivomas Pratama,Southeast Asia
Corporate loan,Bradesco,Brazil,South America,2016,59.06,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Centro-Oeste - Goiás,Latin America
Corporate loan,Banco da Amazonia,Brazil,South America,2019,59.02,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Norte - Pará,Latin America
Corporate loan,China Construction Bank,China,East Asia,2017,59,Royal Golden Eagle Group,Pulp & paper,Asia Symbol China,Southeast Asia
Revolving credit facility,SMBC Group,Japan,East Asia,2017,58.99,Jardine Matheson Group,Palm oil,Astra Agro Lestari,Southeast Asia
Shareholding,BNDES,Brazil,South America,2021,58.68,Klabin,Timber,Klabin,Latin America
Shareholding,Vanguard,United States,North America,2021,58.67,Sinar Mas Group,Pulp & paper,Indah Kiat Pulp & Paper,Southeast Asia
Share issuance,HSBC,United Kingdom,Europe other,2013,58.56,Salim Group,Palm oil,First Pacifc,Southeast Asia
Bond issuance,Soochow Securities,China,East Asia,2017,58.38,Sinar Mas Group,Pulp & paper,Gold Hongye Paper,Southeast Asia
Corporate loan,AmBank Group,Malaysia,Southeast Asia,2014,58.37,NPC Resources Group,Palm oil,Agrisa Trading,Southeast Asia
Corporate loan,AmBank Group,Malaysia,Southeast Asia,2014,58.37,NPC Resources Group,Palm oil,Agrisa Trading,Southeast Asia
Corporate loan,AmBank Group,Malaysia,Southeast Asia,2014,58.37,NPC Resources Group,Palm oil,Berkat Setia,Southeast Asia
Shareholding,Capital Group,United States,North America,2021,58.29,JBS,Beef,JBS,Latin America
Corporate loan,Itaú Unibanco,Brazil,South America,2013,58.28,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Sul - Paraná,Latin America
Corporate loan,Santander,Spain,EU27,2018,58.26,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Centro-Oeste - Goiás,Latin America
Corporate loan,Bank Central Asia,Indonesia,Southeast Asia,2015,58.06,Salim Group,Palm oil,Salim Ivomas Pratama,Southeast Asia
Corporate loan,Banco do Estado do Rio Grande do Sul (Banrisul),Brazil,South America,2017,58.05,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sul - Rio Grande do Sul,Latin America
Corporate loan,Rabobank,Netherlands,EU27,2015,57.78,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Centro-Oeste - MatoGrosso,Latin America
Corporate loan,Malayan Banking,Malaysia,Southeast Asia,2013,57.76,Samling Group,Timber,Samling Strategic Corporation,Southeast Asia
Bond issuance,JPMorgan Chase,United States,North America,2020,57.71,CMPC,Pulp & paper,CMPC,Latin America
Bond issuance,Mitsubishi UFJ Financial,Japan,East Asia,2020,57.71,CMPC,Pulp & paper,CMPC,Latin America
Bond issuance,Scotiabank,Canada,North America,2020,57.71,CMPC,Pulp & paper,CMPC,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2015,57.5,Brazil Agriculture Finance Program,Timber,Brazil Agriculture Finance Program - Sul - Rio Grande do Sul,Latin America
Corporate loan,Credit Suisse,Switzerland,Europe other,2014,57.44,Sinochem Group,Rubber,Halcyon Rubber,Southeast Asia
Corporate loan,DBS,Singapore,Southeast Asia,2014,57.44,Sinochem Group,Rubber,Halcyon Rubber,Southeast Asia
Corporate loan,Credit Suisse,Switzerland,Europe other,2014,57.44,Sinochem Group,Rubber,Halcyon Rubber,Southeast Asia
Corporate loan,DBS,Singapore,Southeast Asia,2014,57.44,Sinochem Group,Rubber,Halcyon Rubber,Southeast Asia
Corporate loan,Itaú Unibanco,Brazil,South America,2016,57.4,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Centro-Oeste - Goiás,Latin America
Bond issuance,Mitsubishi UFJ Financial,Japan,East Asia,2014,57.35,Sinar Mas Group,Palm oil,Golden Assets International,Southeast Asia
Bond issuance,Oversea-Chinese Banking Corporation,Singapore,Southeast Asia,2014,57.35,Sinar Mas Group,Palm oil,Golden Assets International,Southeast Asia
Bond issuance,Daiwa Securities,Japan,East Asia,2016,57.33,Sumitomo Forestry,Timber,Sumitomo Forestry ,Southeast Asia
Corporate loan,Banco do Nordeste do Brasil,Brazil,South America,2017,57.15,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Nordeste - Piauí,Latin America
Revolving credit facility,SMBC Group,Japan,East Asia,2018,57.13,Oji Group,Pulp & paper,Oji Holdings,Latin America
Corporate loan,Bradesco,Brazil,South America,2015,57.1,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Centro-Oeste - Goiás,Latin America
Corporate loan,Itaú Unibanco,Brazil,South America,2018,57.1,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Centro-Oeste - Goiás,Latin America
Corporate loan,DBS,Singapore,Southeast Asia,2014,57.05,Salim Group,Palm oil,Salim Ivomas Pratama,Southeast Asia
Corporate loan,Bank Rakyat Indonesia,Indonesia,Southeast Asia,2015,57,Rajawali Group,Palm oil,Singaland Asetama,Southeast Asia
Bond issuance,BTG Pactual,Brazil,South America,2018,56.81,JBS,Beef,JBS Investments,Latin America
Bond issuance,Santander,Spain,EU27,2018,56.81,JBS,Beef,JBS Investments,Latin America
Bond issuance,Barclays,United Kingdom,Europe other,2018,56.81,JBS,Beef,JBS Investments,Latin America
Bond issuance,Braseg Overseas Bank,Cayman Islands,Central America,2018,56.81,JBS,Beef,JBS Investments,Latin America
Bond issuance,Bradesco,Brazil,South America,2018,56.81,JBS,Beef,JBS Investments,Latin America
Bond issuance,Barclays,United Kingdom,Europe other,2018,56.81,JBS,Beef,JBS Investments,Latin America
Bond issuance,Banco do Brasil,Brazil,South America,2018,56.81,JBS,Beef,JBS Investments,Latin America
Bond issuance,BTG Pactual,Brazil,South America,2018,56.81,JBS,Beef,JBS Investments,Latin America
Bond issuance,Santander,Spain,EU27,2018,56.81,JBS,Beef,JBS Investments,Latin America
Corporate loan,Bradesco,Brazil,South America,2018,56.76,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Centro-Oeste - MatoGrosso,Latin America
Corporate loan,Affin,Malaysia,Southeast Asia,2018,56.74,Kwantas Group,Palm oil,Kwantas Plantations,Southeast Asia
Shareholding,Government Pension Investment Fund (GPIF),Japan,East Asia,2021,56.69,Sumitomo Forestry,Timber,Sumitomo Forestry ,Southeast Asia
Corporate loan,Crédit Agricole,France,EU27,2018,56.67,Suzano,Pulp & paper,Fibria,Latin America
Corporate loan,ING Group,Netherlands,EU27,2018,56.67,Suzano,Pulp & paper,Fibria,Latin America
Corporate loan,Mitsubishi UFJ Financial,Japan,East Asia,2018,56.67,Suzano,Pulp & paper,Fibria,Latin America
Bond issuance,Barclays,United Kingdom,Europe other,2019,56.63,JBS,Beef,JBS Investments,Latin America
Bond issuance,Banco do Brasil,Brazil,South America,2019,56.63,JBS,Beef,JBS Investments,Latin America
Bond issuance,Bradesco,Brazil,South America,2019,56.63,JBS,Beef,JBS Investments,Latin America
Bond issuance,BTG Pactual,Brazil,South America,2019,56.63,JBS,Beef,JBS Investments,Latin America
Bond issuance,Santander,Spain,EU27,2019,56.63,JBS,Beef,JBS Investments,Latin America
Corporate loan,Bradesco,Brazil,South America,2017,56.59,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Norte - Tocantins,Latin America
Corporate loan,Banco do Nordeste do Brasil,Brazil,South America,2015,56.43,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Nordeste - Bahia,Latin America
Corporate loan,Bank Mandiri,Indonesia,Southeast Asia,2013,56.43,Sampoerna Group,Palm oil,Sungai Rangit,Southeast Asia
Shareholding,BlackRock,United States,North America,2021,56.39,Suzano,Pulp & paper,Suzano,Latin America
